,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),cpu_max_all,cpu_max_avg_all,neti_total_mb,neto_total_mb,n,algo,tps_param,cpu_limit,delay,rate_limit,r_idx
0,open,1000,0,392.9,2.32,0.97,1.67,257.1,158.93,43.5,144.78,144.78,16,qbft,400,2.50,0,0,1
1,query,1000,0,398.2,0.03,0.0,0.0,397.1,20.08,14.27,17.289,17.289,16,qbft,400,2.50,0,0,1
2,transfer,1000,0,401.8,2.35,0.93,1.64,262.5,162.16,46.25,150.91,150.91,16,qbft,400,2.50,0,0,1
0,open,1000,0,396.0,2.33,0.86,1.65,257.3,167.65,44.63,131.77999999999997,131.77999999999997,16,qbft,400,2.50,0,0,9
1,query,1000,0,399.4,0.03,0.0,0.0,398.6,20.28,14.32,16.561,16.561,16,qbft,400,2.50,0,0,9
2,transfer,1000,0,401.8,2.35,1.05,1.7,259.7,155.09,45.92,153.04,153.04,16,qbft,400,2.50,0,0,9
0,open,1000,0,395.1,3.98,0.82,2.26,247.8,135.11,49.94,120.16999999999999,120.16999999999999,16,qbft,400,2.50,0,0,8
1,query,1000,0,399.0,0.02,0.0,0.0,398.9,18.74,13.87,17.125,17.125,16,qbft,400,2.50,0,0,8
2,transfer,1000,0,401.4,2.38,1.06,1.65,268.1,158.83,48.25,150.45999999999998,150.45999999999998,16,qbft,400,2.50,0,0,8
0,open,1000,0,397.0,2.41,0.87,1.7,253.4,154.16,41.32,142.82,142.82,16,qbft,400,2.50,0,0,5
1,query,1000,0,396.5,0.04,0.0,0.0,395.9,19.36,14.44,17.485,17.485,16,qbft,400,2.50,0,0,5
2,transfer,1000,0,400.6,2.27,0.93,1.66,257.3,161.79,46.5,150.86,150.86,16,qbft,400,2.50,0,0,5
0,open,1000,0,395.3,2.48,0.98,1.76,246.3,150.65,40.74,128.27,128.27,16,qbft,400,2.50,0,0,2
1,query,1000,0,396.4,0.04,0.0,0.0,396.0,19.0,14.46,17.46,17.46,16,qbft,400,2.50,0,0,2
2,transfer,1000,0,399.5,2.33,0.99,1.69,256.7,156.89,44.0,149.52,149.52,16,qbft,400,2.50,0,0,2
0,open,1000,0,394.5,2.53,0.85,1.71,246.7,155.62,42.49,137.81,137.81,16,qbft,400,2.50,0,0,6
