,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),cpu_max_all,cpu_max_avg_all,neti_total_mb,neto_total_mb,n,algo,tps_param,cpu_limit,delay,rate_limit,r_idx
0,open,1000,0,395.3,2.29,1.01,1.61,273.6,163.92,43.9,104.11000000000001,104.11000000000001,12,qbft,400,2.50,0,0,1
1,query,1000,0,398.1,0.03,0.0,0.0,397.8,20.27,268.32,7.69,7.69,12,qbft,400,2.50,0,0,1
2,transfer,1000,0,401.6,2.21,0.96,1.6,263.4,169.55,47.66,107.45000000000002,107.45000000000002,12,qbft,400,2.50,0,0,1
0,open,1000,0,400.8,2.22,0.92,1.63,254.5,160.62,42.83,101.5,101.5,12,qbft,400,2.50,0,0,9
1,query,1000,0,400.8,0.01,0.0,0.0,400.5,16.63,278.4,7.630000000000001,7.630000000000001,12,qbft,400,2.50,0,0,9
2,transfer,1000,0,401.1,2.29,1.02,1.63,258.4,175.69,46.23,109.15999999999998,109.15999999999998,12,qbft,400,2.50,0,0,9
0,open,1000,0,398.2,2.23,1.03,1.63,261.7,167.47,44.45,105.69,105.69,12,qbft,400,2.50,0,0,8
1,query,1000,0,400.0,0.03,0.0,0.0,399.7,15.93,282.71999999999997,7.5409999999999995,7.5409999999999995,12,qbft,400,2.50,0,0,8
2,transfer,1000,0,401.6,2.22,0.98,1.65,258.4,171.11,47.6,108.3,108.3,12,qbft,400,2.50,0,0,8
0,open,1000,0,397.1,2.26,0.89,1.67,249.4,175.99,42.32,104.61999999999999,104.61999999999999,12,qbft,400,2.50,0,0,5
1,query,1000,0,399.8,0.02,0.0,0.0,399.5,20.05,261.6,7.488,7.488,12,qbft,400,2.50,0,0,5
2,transfer,1000,0,401.3,2.25,0.92,1.63,257.1,167.67,46.39,108.33000000000001,108.33000000000001,12,qbft,400,2.50,0,0,5
0,open,1000,0,398.9,2.26,1.03,1.65,254.5,171.31,44.18,100.03,100.03,12,qbft,400,2.50,0,0,2
1,query,1000,0,398.1,0.03,0.0,0.0,397.8,15.24,271.68,7.409000000000001,7.409000000000001,12,qbft,400,2.50,0,0,2
