,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),cpu_max_all,cpu_max_avg_all,neti_total_mb,neto_total_mb,n,algo,tps_param,cpu_limit,delay,rate_limit,r_idx
0,open,1000,0,201.3,2.16,1.03,1.58,152.3,188.64000000000001,64.32000000000001,272.7,272.7,16,qbft,200,2.50,0,50,1
1,query,1000,0,199.8,0.02,0.0,0.0,199.8,27.839999999999996,16.32,24.78,24.78,16,qbft,200,2.50,0,50,1
2,transfer,1000,0,201.1,2.2,0.97,1.57,156.0,193.44,64.32000000000001,278.40000000000003,278.40000000000003,16,qbft,200,2.50,0,50,1
0,open,1000,0,198.6,2.17,0.98,1.58,146.4,196.79999999999998,65.28,279.5,279.5,16,qbft,200,2.50,0,50,9
1,query,1000,0,200.3,0.03,0.0,0.0,200.3,25.44,15.84,24.830000000000002,24.830000000000002,16,qbft,200,2.50,0,50,9
2,transfer,1000,0,200.7,2.17,1.04,1.59,155.9,209.28000000000003,69.6,285.8,285.8,16,qbft,200,2.50,0,50,9
0,open,1000,0,200.2,2.18,0.99,1.56,150.1,184.8,66.24,268.30000000000007,268.30000000000007,16,qbft,200,2.50,0,50,8
1,query,1000,0,200.2,0.01,0.0,0.0,200.2,16.799999999999997,14.879999999999999,25.96,25.96,16,qbft,200,2.50,0,50,8
2,transfer,1000,0,201.2,2.24,1.0,1.58,155.8,182.39999999999998,59.04,268.9,268.9,16,qbft,200,2.50,0,50,8
0,open,1000,0,199.9,2.2,1.02,1.57,146.6,211.68,71.52,270.7,270.7,16,qbft,200,2.50,0,50,5
1,query,1000,0,199.9,0.01,0.0,0.0,199.8,23.52,15.36,25.7,25.7,16,qbft,200,2.50,0,50,5
2,transfer,1000,0,201.3,2.18,0.97,1.57,155.2,182.88,60.480000000000004,273.6,273.6,16,qbft,200,2.50,0,50,5
0,open,1000,0,200.6,3.15,1.0,1.61,164.5,206.88,78.24,245.1,245.1,16,qbft,200,2.50,0,50,2
1,query,1000,0,199.0,0.02,0.0,0.0,199.0,23.04,15.84,25.39,25.39,16,qbft,200,2.50,0,50,2
2,transfer,1000,0,201.1,2.2,1.02,1.59,158.7,191.04,65.28,279.6,279.6,16,qbft,200,2.50,0,50,2
0,open,1000,0,199.8,2.19,1.01,1.58,146.2,193.44,64.80000000000001,275.4,275.4,16,qbft,200,2.50,0,50,6
1,query,1000,0,200.0,0.02,0.0,0.0,200.0,24.0,15.84,25.05,25.05,16,qbft,200,2.50,0,50,6
2,transfer,1000,0,201.2,2.21,1.01,1.58,154.8,190.56,63.36,280.20000000000005,280.20000000000005,16,qbft,200,2.50,0,50,6
0,open,1000,0,200.6,2.18,0.98,1.56,149.5,192.95999999999998,65.76,276.79999999999995,276.79999999999995,16,qbft,200,2.50,0,50,7
1,query,1000,0,200.4,0.02,0.0,0.0,200.3,34.56,17.759999999999998,25.17,25.17,16,qbft,200,2.50,0,50,7
2,transfer,1000,0,201.2,2.18,0.99,1.57,156.5,184.32,62.400000000000006,276.90000000000003,276.90000000000003,16,qbft,200,2.50,0,50,7
0,open,1000,0,199.2,2.2,1.03,1.58,164.5,210.71999999999997,79.67999999999999,262.8,262.8,16,qbft,200,2.50,0,50,3
1,query,1000,0,200.7,0.02,0.0,0.0,200.6,20.64,15.36,25.17,25.17,16,qbft,200,2.50,0,50,3
2,transfer,1000,0,201.4,2.21,1.02,1.58,157.6,173.28,60.480000000000004,271.3,271.3,16,qbft,200,2.50,0,50,3
0,open,1000,0,199.8,2.18,1.01,1.58,166.1,193.44,72.0,270.29999999999995,270.29999999999995,16,qbft,200,2.50,0,50,4
1,query,1000,0,200.4,0.01,0.0,0.0,200.4,21.12,15.36,25.229999999999997,25.229999999999997,16,qbft,200,2.50,0,50,4
2,transfer,1000,0,201.3,2.22,1.0,1.59,157.2,188.16,64.32000000000001,278.4,278.4,16,qbft,200,2.50,0,50,4
0,open,1000,0,199.2,2.74,0.54,1.47,148.9,202.07999999999998,66.72,246.06,246.06,16,qbft,200,2.50,0,50,10
