,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),cpu_max_all,cpu_max_avg_all,neti_total_mb,neto_total_mb,n,algo,tps_param,cpu_limit,delay,rate_limit,r_idx
0,open,1000,0,199.5,7.58,3.07,5.23,105.2,119.91,52.24,163.92000000000002,163.92000000000002,16,qbft,200,2.50,0,10,1
1,query,1000,0,199.8,0.05,0.0,0.0,199.7,28.56,17.0,20.97,20.97,16,qbft,200,2.50,0,10,1
2,transfer,1000,0,201.0,10.73,2.8,7.1,87.5,123.67,51.99,187.8,187.8,16,qbft,200,2.50,0,10,1
0,open,1000,0,201.3,7.92,2.42,5.39,104.0,114.45,49.21,164.94,164.94,16,qbft,200,2.50,0,10,9
1,query,1000,0,200.3,0.05,0.0,0.0,200.2,31.17,17.55,20.869999999999997,20.869999999999997,16,qbft,200,2.50,0,10,9
2,transfer,1000,0,200.4,9.2,2.61,6.55,91.6,123.69,53.42,185.7,185.7,16,qbft,200,2.50,0,10,9
0,open,1000,0,200.0,8.09,2.3,5.6,102.9,119.85,53.46,170.73000000000002,170.73000000000002,16,qbft,200,2.50,0,10,8
1,query,1000,0,199.2,0.04,0.0,0.0,199.0,26.46,17.35,22.48,22.48,16,qbft,200,2.50,0,10,8
2,transfer,1000,0,201.3,9.7,3.74,6.83,91.7,129.27,51.96,187.10000000000002,187.10000000000002,16,qbft,200,2.50,0,10,8
0,open,1000,0,200.0,7.46,2.9,5.26,104.5,111.28,50.62,163.64000000000001,163.64000000000001,16,qbft,200,2.50,0,10,5
1,query,1000,0,199.7,0.05,0.0,0.0,199.6,30.54,17.43,21.0,21.0,16,qbft,200,2.50,0,10,5
2,transfer,1000,0,200.8,10.36,3.24,7.1,91.1,121.44,52.87,187.8,187.8,16,qbft,200,2.50,0,10,5
0,open,1000,0,200.2,6.63,2.95,4.76,114.1,111.21,53.39,161.16000000000003,161.16000000000003,16,qbft,200,2.50,0,10,2
1,query,1000,0,201.1,0.05,0.0,0.0,201.0,28.96,17.28,20.86,20.86,16,qbft,200,2.50,0,10,2
2,transfer,1000,0,200.4,10.58,2.78,7.16,89.9,122.31,50.77,187.89999999999998,187.89999999999998,16,qbft,200,2.50,0,10,2
0,open,1000,0,196.1,7.95,2.47,5.47,103.8,112.81,49.85,165.27,165.27,16,qbft,200,2.50,0,10,6
1,query,1000,0,200.2,0.04,0.0,0.0,200.1,17.79,15.22,20.71,20.71,16,qbft,200,2.50,0,10,6
2,transfer,1000,0,201.2,9.76,3.64,6.78,89.6,118.87,53.61,186.2,186.2,16,qbft,200,2.50,0,10,6
0,open,1000,0,199.0,7.91,2.78,5.29,102.2,121.85,52.37,164.33999999999997,164.33999999999997,16,qbft,200,2.50,0,10,7
1,query,1000,0,199.5,0.05,0.0,0.0,199.4,26.02,17.24,21.04,21.04,16,qbft,200,2.50,0,10,7
2,transfer,1000,0,201.5,9.59,4.17,6.89,89.6,124.28,58.18,188.89999999999998,188.89999999999998,16,qbft,200,2.50,0,10,7
0,open,1000,0,199.3,7.98,2.45,5.5,103.7,117.69,50.46,165.79,165.79,16,qbft,200,2.50,0,10,3
1,query,1000,0,200.1,0.04,0.0,0.0,200.1,25.56,16.59,20.740000000000002,20.740000000000002,16,qbft,200,2.50,0,10,3
2,transfer,1000,0,201.3,9.92,3.91,6.78,88.9,121.12,53.9,187.89999999999998,187.89999999999998,16,qbft,200,2.50,0,10,3
0,open,1000,0,200.6,9.0,3.29,6.02,99.9,124.29,58.65,170.2,170.2,16,qbft,200,2.50,0,10,4
1,query,1000,0,200.7,0.04,0.0,0.0,200.6,25.62,16.76,21.009999999999998,21.009999999999998,16,qbft,200,2.50,0,10,4
2,transfer,1000,0,201.4,8.44,2.66,6.01,99.5,114.81,51.58,175.34000000000003,175.34000000000003,16,qbft,200,2.50,0,10,4
0,open,1000,0,200.0,8.96,3.11,6.16,100.0,127.29,55.31,171.8,171.8,16,qbft,200,2.50,0,10,10
1,query,1000,0,199.8,0.05,0.0,0.0,199.7,26.0,16.98,21.0,21.0,16,qbft,200,2.50,0,10,10
2,transfer,1000,0,198.3,8.37,2.45,5.85,99.0,119.65,54.72,176.45999999999998,176.45999999999998,16,qbft,200,2.50,0,10,10
0,open,1000,0,398.6,7.22,4.66,5.96,136.9,131.86,39.94,97.81,97.81,16,bhs,400,2.50,0,10,1
1,query,1000,0,400.0,0.02,0.0,0.0,399.8,28.9,13.6,2.282,2.282,16,bhs,400,2.50,0,10,1
2,transfer,1000,0,399.7,7.85,5.14,6.56,126.8,125.84,44.91,107.53999999999999,107.53999999999999,16,bhs,400,2.50,0,10,1
0,open,1000,0,397.1,7.27,4.72,5.99,136.6,133.52,40.39,99.61999999999999,99.61999999999999,16,bhs,400,2.50,0,10,8
1,query,1000,0,399.4,0.01,0.0,0.0,399.0,29.55,15.16,2.2295999999999996,2.2295999999999996,16,bhs,400,2.50,0,10,8
2,transfer,1000,0,401.1,8.87,5.05,7.5,111.3,128.64,45.58,113.0,113.0,16,bhs,400,2.50,0,10,8
0,open,1000,0,398.1,7.55,4.99,6.28,131.3,131.14,38.67,97.85,97.85,16,bhs,400,2.50,0,10,5
1,query,1000,0,394.9,0.02,0.0,0.0,394.8,27.93,13.78,2.2866999999999997,2.2866999999999997,16,bhs,400,2.50,0,10,5
2,transfer,1000,0,401.0,7.78,5.24,6.5,128.0,130.7,48.32,105.98,105.98,16,bhs,400,2.50,0,10,5
0,open,1000,0,392.6,7.28,4.63,5.94,137.2,131.71,38.12,98.18,98.18,16,bhs,400,2.50,0,10,2
1,query,1000,0,396.5,0.01,0.0,0.0,396.2,39.76,15.62,2.3792999999999997,2.3792999999999997,16,bhs,400,2.50,0,10,2
2,transfer,1000,0,401.1,7.5,4.93,6.17,128.0,129.64,50.09,106.08,106.08,16,bhs,400,2.50,0,10,2
0,open,1000,0,398.6,7.51,4.95,6.24,132.3,129.86,38.8,99.03,99.03,16,bhs,400,2.50,0,10,6
1,query,1000,0,397.1,0.02,0.0,0.0,396.8,30.57,14.84,2.2739000000000003,2.2739000000000003,16,bhs,400,2.50,0,10,6
2,transfer,1000,0,402.7,7.83,5.15,6.53,125.9,131.26,47.34,107.45,107.45,16,bhs,400,2.50,0,10,6
0,open,1000,0,398.9,7.27,4.68,6.0,136.1,125.76,38.26,98.39,98.39,16,bhs,400,2.50,0,10,7
1,query,1000,0,397.6,0.02,0.0,0.0,397.3,27.12,13.75,2.2625,2.2625,16,bhs,400,2.50,0,10,7
2,transfer,1000,0,401.0,7.83,5.2,6.49,127.4,127.4,46.38,106.86,106.86,16,bhs,400,2.50,0,10,7
0,open,1000,0,398.7,7.38,4.8,6.1,134.9,128.58,39.63,96.39999999999999,96.39999999999999,16,bhs,400,2.50,0,10,3
1,query,1000,0,399.2,0.01,0.0,0.0,399.0,31.32,14.69,2.2720000000000002,2.2720000000000002,16,bhs,400,2.50,0,10,3
2,transfer,1000,0,400.2,7.75,5.15,6.43,127.1,126.09,42.31,106.97999999999999,106.97999999999999,16,bhs,400,2.50,0,10,3
0,open,1000,0,385.5,7.37,4.78,6.12,134.0,130.33,39.31,98.73,98.73,16,bhs,400,2.50,0,10,4
1,query,1000,0,398.7,0.02,0.0,0.0,398.4,26.91,13.84,2.252,2.252,16,bhs,400,2.50,0,10,4
2,transfer,1000,0,402.4,7.86,5.26,6.56,126.5,126.29,49.21,107.61000000000001,107.61000000000001,16,bhs,400,2.50,0,10,4
0,open,1000,0,297.9,7.99,4.6,6.32,124.1,140.85,64.52,110.86000000000001,110.86000000000001,16,bhs,300,2.50,0,10,1
1,query,1000,0,298.2,0.01,0.0,0.0,298.0,27.5,12.77,2.522,2.522,16,bhs,300,2.50,0,10,1
2,transfer,1000,0,299.4,9.09,5.63,7.32,109.8,140.58,46.23,122.51,122.51,16,bhs,300,2.50,0,10,1
0,open,1000,0,292.3,5.72,3.22,4.57,149.3,141.38,50.34,103.35,103.35,16,bhs,300,2.50,0,10,9
1,query,1000,0,299.4,0.01,0.0,0.0,299.0,21.43,13.01,2.469,2.469,16,bhs,300,2.50,0,10,9
2,transfer,1000,0,298.7,8.51,5.08,6.81,117.1,134.37,50.36,122.50999999999999,122.50999999999999,16,bhs,300,2.50,0,10,9
0,open,1000,0,297.0,6.62,3.23,4.94,143.2,133.48,45.93,103.37,103.37,16,bhs,300,2.50,0,10,8
1,query,1000,0,294.8,0.03,0.0,0.0,294.6,21.63,11.53,2.508,2.508,16,bhs,300,2.50,0,10,8
2,transfer,1000,0,301.7,8.64,5.2,6.9,114.9,135.52,48.04,121.12,121.12,16,bhs,300,2.50,0,10,8
0,open,1000,0,297.7,8.26,4.82,6.54,120.3,130.18,56.6,111.09,111.09,16,bhs,300,2.50,0,10,5
1,query,1000,0,299.1,0.02,0.0,0.0,299.0,28.92,12.63,2.609,2.609,16,bhs,300,2.50,0,10,5
2,transfer,1000,0,301.5,9.13,5.72,7.42,109.2,135.85,46.11,122.39000000000001,122.39000000000001,16,bhs,300,2.50,0,10,5
0,open,1000,0,295.0,7.72,4.29,6.04,127.8,149.93,63.23,108.6,108.6,16,bhs,300,2.50,0,10,2
1,query,1000,0,297.5,0.02,0.0,0.0,297.4,26.62,11.76,2.484,2.484,16,bhs,300,2.50,0,10,2
2,transfer,1000,0,299.6,9.1,5.68,7.38,109.6,132.18,45.72,121.91,121.91,16,bhs,300,2.50,0,10,2
0,open,1000,0,298.1,8.05,4.63,6.36,123.4,135.76,66.18,110.02000000000001,110.02000000000001,16,bhs,300,2.50,0,10,6
1,query,1000,0,298.3,0.02,0.0,0.0,298.2,21.96,11.78,2.468,2.468,16,bhs,300,2.50,0,10,6
2,transfer,1000,0,301.6,9.06,5.66,7.37,109.9,140.97,47.86,122.0,122.0,16,bhs,300,2.50,0,10,6
0,open,1000,0,294.1,8.22,4.75,6.5,121.1,134.53,57.8,110.97,110.97,16,bhs,300,2.50,0,10,7
1,query,1000,0,297.9,0.02,0.0,0.0,297.7,21.37,11.53,2.487,2.487,16,bhs,300,2.50,0,10,7
2,transfer,1000,0,301.6,9.12,5.59,7.3,109.6,142.89,45.84,122.03999999999999,122.03999999999999,16,bhs,300,2.50,0,10,7
0,open,1000,0,298.5,8.37,4.97,6.66,118.9,138.99,53.96,110.57,110.57,16,bhs,300,2.50,0,10,3
1,query,1000,0,299.4,0.02,0.0,0.0,299.2,25.46,12.13,2.489,2.489,16,bhs,300,2.50,0,10,3
2,transfer,1000,0,300.8,8.26,4.87,6.56,119.9,138.87,56.06,119.98,119.98,16,bhs,300,2.50,0,10,3
0,open,1000,0,298.8,8.02,4.6,6.3,124.3,139.21,65.33,110.0,110.0,16,bhs,300,2.50,0,10,4
1,query,1000,0,298.2,0.05,0.0,0.0,298.1,25.19,11.88,2.461,2.461,16,bhs,300,2.50,0,10,4
2,transfer,1000,0,299.3,8.08,4.68,6.4,122.6,142.0,67.27,119.52,119.52,16,bhs,300,2.50,0,10,4
0,open,1000,0,298.0,8.27,4.87,6.58,120.0,133.07,54.21,111.43,111.43,16,bhs,300,2.50,0,10,10
1,query,1000,0,298.9,0.02,0.0,0.0,298.7,28.47,12.72,2.508,2.508,16,bhs,300,2.50,0,10,10
2,transfer,1000,0,299.7,9.02,5.62,7.32,110.2,135.65,47.15,122.49000000000001,122.49000000000001,16,bhs,300,2.50,0,10,10
0,open,1000,0,100.4,2.95,0.82,1.87,92.6,113.37,60.07,195.9,195.9,16,bhs,100,2.50,0,10,1
1,query,1000,0,100.5,0.02,0.0,0.0,100.5,30.16,11.06,3.943,3.943,16,bhs,100,2.50,0,10,1
2,transfer,1000,0,100.7,4.29,1.07,2.25,87.6,120.78,57.49,197.10000000000002,197.10000000000002,16,bhs,100,2.50,0,10,1
0,open,1000,0,100.2,5.11,1.03,2.61,90.7,117.64,61.66,197.9,197.9,16,bhs,100,2.50,0,10,9
1,query,1000,0,100.2,0.03,0.0,0.0,100.2,27.58,10.88,4.048,4.048,16,bhs,100,2.50,0,10,9
2,transfer,1000,0,100.5,7.19,1.59,3.63,84.5,113.06,63.5,202.4,202.4,16,bhs,100,2.50,0,10,9
0,open,1000,0,99.7,5.07,1.2,2.88,89.1,118.0,60.79,198.9,198.9,16,bhs,100,2.50,0,10,8
1,query,1000,0,100.3,0.02,0.0,0.0,100.3,24.4,10.94,3.939,3.939,16,bhs,100,2.50,0,10,8
2,transfer,1000,0,100.8,5.09,1.4,2.9,88.0,108.99,57.12,198.9,198.9,16,bhs,100,2.50,0,10,8
0,open,1000,0,100.2,5.6,1.45,2.87,86.8,125.47,61.98,198.8,198.8,16,bhs,100,2.50,0,10,5
