,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),cpu_max_all,cpu_max_avg_all,neti_total_mb,neto_total_mb,n,algo,tps_param,cpu_limit,delay,rate_limit,r_idx
0,open,1000,0,398.6,7.22,4.66,5.96,136.9,131.86,39.94,97.81,97.81,16,bhs,400,2.50,0,10,1
1,query,1000,0,400.0,0.02,0.0,0.0,399.8,28.9,13.6,2.282,2.282,16,bhs,400,2.50,0,10,1
2,transfer,1000,0,399.7,7.85,5.14,6.56,126.8,125.84,44.91,107.53999999999999,107.53999999999999,16,bhs,400,2.50,0,10,1
0,open,1000,0,395.1,7.6,5.0,6.3,131.2,142.8,37.09,105.22999999999999,105.22999999999999,16,bhs,400,2.5,0,10,9
1,query,1000,0,396.4,0.01,0.0,0.0,396.2,24.6,12.48,2.2114000000000003,2.2114000000000003,16,bhs,400,2.5,0,10,9
2,transfer,1000,0,399.4,7.21,5.09,5.99,130.0,158.22,35.28,112.48,112.48,16,bhs,400,2.5,0,10,9
0,open,1000,0,397.1,7.27,4.72,5.99,136.6,133.52,40.39,99.61999999999999,99.61999999999999,16,bhs,400,2.50,0,10,8
1,query,1000,0,399.4,0.01,0.0,0.0,399.0,29.55,15.16,2.2295999999999996,2.2295999999999996,16,bhs,400,2.50,0,10,8
2,transfer,1000,0,401.1,8.87,5.05,7.5,111.3,128.64,45.58,113.0,113.0,16,bhs,400,2.50,0,10,8
0,open,1000,0,398.1,7.55,4.99,6.28,131.3,131.14,38.67,97.85,97.85,16,bhs,400,2.50,0,10,5
1,query,1000,0,394.9,0.02,0.0,0.0,394.8,27.93,13.78,2.2866999999999997,2.2866999999999997,16,bhs,400,2.50,0,10,5
2,transfer,1000,0,401.0,7.78,5.24,6.5,128.0,130.7,48.32,105.98,105.98,16,bhs,400,2.50,0,10,5
0,open,1000,0,392.6,7.28,4.63,5.94,137.2,131.71,38.12,98.18,98.18,16,bhs,400,2.50,0,10,2
1,query,1000,0,396.5,0.01,0.0,0.0,396.2,39.76,15.62,2.3792999999999997,2.3792999999999997,16,bhs,400,2.50,0,10,2
2,transfer,1000,0,401.1,7.5,4.93,6.17,128.0,129.64,50.09,106.08,106.08,16,bhs,400,2.50,0,10,2
0,open,1000,0,398.6,7.51,4.95,6.24,132.3,129.86,38.8,99.03,99.03,16,bhs,400,2.50,0,10,6
1,query,1000,0,397.1,0.02,0.0,0.0,396.8,30.57,14.84,2.2739000000000003,2.2739000000000003,16,bhs,400,2.50,0,10,6
2,transfer,1000,0,402.7,7.83,5.15,6.53,125.9,131.26,47.34,107.45,107.45,16,bhs,400,2.50,0,10,6
0,open,1000,0,398.9,7.27,4.68,6.0,136.1,125.76,38.26,98.39,98.39,16,bhs,400,2.50,0,10,7
1,query,1000,0,397.6,0.02,0.0,0.0,397.3,27.12,13.75,2.2625,2.2625,16,bhs,400,2.50,0,10,7
2,transfer,1000,0,401.0,7.83,5.2,6.49,127.4,127.4,46.38,106.86,106.86,16,bhs,400,2.50,0,10,7
0,open,1000,0,398.7,7.38,4.8,6.1,134.9,128.58,39.63,96.39999999999999,96.39999999999999,16,bhs,400,2.50,0,10,3
1,query,1000,0,399.2,0.01,0.0,0.0,399.0,31.32,14.69,2.2720000000000002,2.2720000000000002,16,bhs,400,2.50,0,10,3
2,transfer,1000,0,400.2,7.75,5.15,6.43,127.1,126.09,42.31,106.97999999999999,106.97999999999999,16,bhs,400,2.50,0,10,3
0,open,1000,0,385.5,7.37,4.78,6.12,134.0,130.33,39.31,98.73,98.73,16,bhs,400,2.50,0,10,4
1,query,1000,0,398.7,0.02,0.0,0.0,398.4,26.91,13.84,2.252,2.252,16,bhs,400,2.50,0,10,4
2,transfer,1000,0,402.4,7.86,5.26,6.56,126.5,126.29,49.21,107.61000000000001,107.61000000000001,16,bhs,400,2.50,0,10,4
0,open,1000,0,399.2,7.52,4.93,6.22,132.2,144.76,39.43,105.81,105.81,16,bhs,400,2.5,0,10,10
1,query,1000,0,399.4,0.01,0.0,0.0,399.0,27.56,13.21,2.2652,2.2652,16,bhs,400,2.5,0,10,10
2,transfer,1000,0,398.4,7.93,5.36,6.65,125.0,151.87,35.41,115.4,115.4,16,bhs,400,2.5,0,10,10
0,open,1000,0,396.0,3.3,1.36,2.28,248.9,114.8,40.21,37.53,37.53,8,ibft,400,2.50,0,10,1
1,query,1000,0,397.8,0.02,0.0,0.0,396.2,11.5,282.71999999999997,3.654,3.654,8,ibft,400,2.50,0,10,1
2,transfer,1000,0,401.0,3.48,1.53,2.57,204.5,106.53,35.97,41.92,41.92,8,ibft,400,2.50,0,10,1
0,open,1000,0,396.8,3.6,1.38,2.38,245.6,120.05,27.56,39.0,39.0,8,ibft,400,2.5,0,10,9
1,query,1000,0,397.5,0.02,0.0,0.0,397.1,279.36,266.88,3.1559999999999997,3.1559999999999997,8,ibft,400,2.5,0,10,9
2,transfer,1000,0,401.6,3.83,2.28,2.99,207.0,130.62,40.44,44.9,44.9,8,ibft,400,2.5,0,10,9
0,open,1000,0,398.6,3.28,1.27,2.28,249.5,117.14,40.2,37.260000000000005,37.260000000000005,8,ibft,400,2.50,0,10,8
1,query,1000,0,395.7,0.02,0.0,0.0,394.2,11.6,288.0,3.605,3.605,8,ibft,400,2.50,0,10,8
2,transfer,1000,0,402.1,3.41,1.59,2.58,202.9,106.67,36.8,41.72,41.72,8,ibft,400,2.50,0,10,8
0,open,1000,0,396.7,3.05,1.48,2.29,246.5,110.94,39.54,37.519999999999996,37.519999999999996,8,ibft,400,2.50,0,10,5
1,query,1000,0,396.2,0.02,0.0,0.0,395.9,16.61,9.69,3.683,3.683,8,ibft,400,2.50,0,10,5
2,transfer,1000,0,402.3,3.64,1.55,2.41,230.2,108.87,38.0,40.17,40.17,8,ibft,400,2.50,0,10,5
0,open,1000,0,400.8,3.22,1.36,2.16,253.9,120.14,39.97,37.21,37.21,8,ibft,400,2.50,0,10,2
1,query,1000,0,395.1,0.02,0.0,0.0,394.9,11.25,6.67,4.024,4.024,8,ibft,400,2.50,0,10,2
2,transfer,1000,0,401.4,3.4,1.62,2.6,205.0,114.86,34.8,41.03,41.03,8,ibft,400,2.50,0,10,2
0,open,1000,0,397.6,3.15,1.5,2.31,246.6,109.7,33.19,37.98,37.98,8,ibft,400,2.50,0,10,6
1,query,1000,0,395.9,0.02,0.0,0.0,395.6,18.56,272.64,3.588,3.588,8,ibft,400,2.50,0,10,6
2,transfer,1000,0,401.0,3.22,1.77,2.55,202.8,112.96,36.91,40.83,40.83,8,ibft,400,2.50,0,10,6
0,open,1000,0,394.3,3.01,1.46,2.2,247.8,117.92,41.13,36.980000000000004,36.980000000000004,8,ibft,400,2.50,0,10,7
