,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),cpu_max_all,cpu_max_avg_all,neti_total_mb,neto_total_mb,n,algo,tps_param,cpu_limit,delay,rate_limit,r_idx
0,open,1000,0,197.5,2.49,1.04,1.7,141.3,139.67,50.35,145.44,145.44,16,bhs,200,2.50,50,0,1
1,query,1000,0,197.8,0.07,0.05,0.05,195.8,23.79,12.92,3.6849999999999996,3.6849999999999996,16,bhs,200,2.50,50,0,1
2,transfer,1000,0,200.8,2.21,1.02,1.64,150.7,142.73,47.5,160.84,160.84,16,bhs,200,2.50,50,0,1
0,open,1000,0,200.7,2.38,0.92,1.66,145.8,149.21,51.2,143.36,143.36,16,bhs,200,2.50,50,0,9
1,query,1000,0,199.0,0.06,0.05,0.05,197.0,21.53,10.99,3.701,3.701,16,bhs,200,2.50,50,0,9
2,transfer,1000,0,200.6,2.22,0.94,1.62,148.7,150.98,49.19,158.59,158.59,16,bhs,200,2.50,50,0,9
0,open,1000,0,199.7,2.38,0.98,1.68,162.2,146.45,51.98,144.86,144.86,16,bhs,200,2.50,50,0,8
1,query,1000,0,198.4,0.07,0.05,0.05,196.4,30.62,12.93,3.7059999999999995,3.7059999999999995,16,bhs,200,2.50,50,0,8
2,transfer,1000,0,200.6,2.44,1.01,1.69,150.7,152.36,50.46,161.3,161.3,16,bhs,200,2.50,50,0,8
0,open,1000,0,198.3,2.27,0.99,1.64,148.5,145.09,47.45,136.73,136.73,16,bhs,200,2.50,50,0,5
1,query,1000,0,198.9,0.07,0.05,0.05,196.9,30.17,13.25,3.744,3.744,16,bhs,200,2.50,50,0,5
2,transfer,1000,0,200.5,2.19,0.99,1.62,149.5,143.78,46.49,154.43,154.43,16,bhs,200,2.50,50,0,5
0,open,1000,0,199.1,2.44,1.12,1.72,160.1,145.05,50.9,144.07,144.07,16,bhs,200,2.50,50,0,2
1,query,1000,0,199.4,0.06,0.05,0.05,197.3,36.82,13.62,3.713,3.713,16,bhs,200,2.50,50,0,2
2,transfer,1000,0,200.8,2.27,0.99,1.66,151.4,152.67,49.5,159.64999999999998,159.64999999999998,16,bhs,200,2.50,50,0,2
0,open,1000,0,198.6,2.54,1.0,1.71,158.2,148.38,52.0,150.09,150.09,16,bhs,200,2.50,50,0,6
1,query,1000,0,197.5,0.07,0.05,0.05,195.5,32.43,12.74,3.727,3.727,16,bhs,200,2.50,50,0,6
2,transfer,1000,0,200.2,2.31,1.06,1.67,152.9,144.2,48.89,162.59,162.59,16,bhs,200,2.50,50,0,6
0,open,1000,0,199.6,3.12,0.91,1.75,152.3,165.24,50.55,138.76,138.76,16,bhs,200,2.50,50,0,7
1,query,1000,0,199.6,0.06,0.05,0.05,197.5,35.16,13.31,3.582,3.582,16,bhs,200,2.50,50,0,7
2,transfer,1000,0,200.5,2.32,0.95,1.66,151.0,143.21,49.21,153.85,153.85,16,bhs,200,2.50,50,0,7
0,open,1000,0,199.6,2.3,0.98,1.68,153.6,140.44,50.55,144.19,144.19,16,bhs,200,2.50,50,0,3
1,query,1000,0,199.2,0.07,0.05,0.05,197.2,35.01,13.58,3.757,3.757,16,bhs,200,2.50,50,0,3
2,transfer,1000,0,201.0,2.28,0.94,1.64,152.0,156.51,50.47,159.82999999999998,159.82999999999998,16,bhs,200,2.50,50,0,3
0,open,1000,0,200.4,2.44,1.01,1.7,159.7,148.35,50.25,149.18,149.18,16,bhs,200,2.50,50,0,4
1,query,1000,0,200.5,0.06,0.05,0.05,198.4,22.49,12.38,3.7859999999999996,3.7859999999999996,16,bhs,200,2.50,50,0,4
2,transfer,1000,0,200.6,2.2,0.95,1.63,148.6,148.0,49.08,163.22,163.22,16,bhs,200,2.50,50,0,4
0,open,1000,0,198.6,2.4,1.09,1.71,156.5,144.58,50.68,148.15,148.15,16,bhs,200,2.50,50,0,10
1,query,1000,0,199.0,0.09,0.05,0.05,196.9,30.22,13.03,3.746,3.746,16,bhs,200,2.50,50,0,10
2,transfer,1000,0,200.8,2.2,1.0,1.64,149.0,151.4,49.4,163.32000000000002,163.32000000000002,16,bhs,200,2.50,50,0,10
0,open,1000,0,297.6,2.77,1.05,1.84,184.8,182.02,61.67,186.4,186.4,16,ibft,300,2.50,50,0,1
1,query,1000,0,298.3,0.06,0.05,0.05,293.8,25.34,17.19,23.86,23.86,16,ibft,300,2.50,50,0,1
2,transfer,1000,0,301.5,2.93,1.12,1.83,209.1,182.06,60.09,189.73,189.73,16,ibft,300,2.50,50,0,1
0,open,1000,0,300.9,2.38,1.08,1.71,186.2,180.22,59.83,177.37,177.37,16,ibft,300,2.50,50,0,9
1,query,1000,0,299.8,0.06,0.05,0.05,295.2,17.45,15.92,22.29,22.29,16,ibft,300,2.50,50,0,9
2,transfer,1000,0,301.5,2.67,0.96,1.69,212.2,186.98,61.23,177.26,177.26,16,ibft,300,2.50,50,0,9
0,open,1000,0,296.9,2.76,1.05,1.9,191.6,175.23,59.75,185.5,185.5,16,ibft,300,2.50,50,0,8
1,query,1000,0,299.2,0.06,0.05,0.05,294.6,28.34,17.85,24.479999999999997,24.479999999999997,16,ibft,300,2.50,50,0,8
2,transfer,1000,0,301.6,2.35,1.12,1.73,186.3,178.0,56.82,182.07999999999998,182.07999999999998,16,ibft,300,2.50,50,0,8
0,open,1000,0,299.3,2.52,0.99,1.78,188.3,162.3,57.27,152.26999999999998,152.26999999999998,16,ibft,300,2.50,50,0,5
1,query,1000,0,300.3,0.07,0.05,0.05,295.7,31.35,18.56,21.77,21.77,16,ibft,300,2.50,50,0,5
2,transfer,1000,0,300.9,2.41,0.98,1.7,213.9,175.21,58.16,170.04000000000002,170.04000000000002,16,ibft,300,2.50,50,0,5
0,open,1000,0,300.3,2.45,1.04,1.79,190.7,166.75,57.11,153.92,153.92,16,ibft,300,2.50,50,0,2
1,query,1000,0,299.2,0.06,0.05,0.05,294.6,25.87,17.16,20.53,20.53,16,ibft,300,2.50,50,0,2
2,transfer,1000,0,301.3,2.44,1.05,1.72,216.6,163.91,54.64,156.03,156.03,16,ibft,300,2.50,50,0,2
0,open,1000,0,299.9,2.36,0.93,1.72,197.0,160.07,58.35,149.75,149.75,16,ibft,300,2.50,50,0,6
1,query,1000,0,297.8,0.06,0.05,0.05,293.3,29.32,18.49,21.83,21.83,16,ibft,300,2.50,50,0,6
2,transfer,1000,0,298.8,2.47,1.18,1.83,191.5,162.44,54.09,162.76999999999998,162.76999999999998,16,ibft,300,2.50,50,0,6
0,open,1000,0,299.0,2.94,1.12,1.91,189.5,176.54,59.95,180.26,180.26,16,ibft,300,2.50,50,0,7
1,query,1000,0,298.3,0.06,0.05,0.05,293.8,20.34,16.17,23.52,23.52,16,ibft,300,2.50,50,0,7
2,transfer,1000,0,301.2,2.48,1.06,1.75,185.3,183.16,60.09,190.26,190.26,16,ibft,300,2.50,50,0,7
0,open,1000,0,298.9,4.71,0.99,2.25,162.6,177.87,58.37,192.32,192.32,16,ibft,300,2.50,50,0,3
1,query,1000,0,298.7,0.06,0.05,0.05,294.1,19.29,16.63,23.939999999999998,23.939999999999998,16,ibft,300,2.50,50,0,3
2,transfer,1000,0,301.0,5.31,1.18,2.95,148.4,169.43,55.62,204.0,204.0,16,ibft,300,2.50,50,0,3
0,open,1000,0,300.8,2.59,1.15,1.81,185.9,178.74,59.85,178.29999999999998,178.29999999999998,16,ibft,300,2.50,50,0,4
1,query,1000,0,299.6,0.07,0.05,0.05,294.7,17.88,16.03,23.72,23.72,16,ibft,300,2.50,50,0,4
2,transfer,1000,0,301.3,2.37,1.0,1.71,215.0,170.54,56.52,160.17000000000002,160.17000000000002,16,ibft,300,2.50,50,0,4
0,open,1000,0,300.9,2.89,1.07,1.92,192.1,179.68,61.1,181.11,181.11,16,ibft,300,2.50,50,0,10
1,query,1000,0,299.9,0.06,0.05,0.05,295.3,23.3,17.68,24.240000000000002,24.240000000000002,16,ibft,300,2.50,50,0,10
2,transfer,1000,0,300.9,2.58,1.15,1.8,186.8,182.03,60.52,187.05,187.05,16,ibft,300,2.50,50,0,10
0,open,1000,0,392.9,2.79,1.06,1.87,262.2,163.42,53.67,144.1,144.1,16,ibft,400,2.50,50,0,1
1,query,1000,0,400.5,0.07,0.05,0.05,392.3,21.58,17.32,25.8,25.8,16,ibft,400,2.50,50,0,1
2,transfer,1000,0,402.1,2.87,1.27,1.93,245.2,159.56,49.93,152.57999999999998,152.57999999999998,16,ibft,400,2.50,50,0,1
0,open,1000,0,399.7,3.2,1.16,1.95,255.2,161.03,52.96,139.49,139.49,16,ibft,400,2.50,50,0,8
1,query,1000,0,399.8,0.08,0.05,0.05,391.7,23.09,17.79,25.0,25.0,16,ibft,400,2.50,50,0,8
2,transfer,1000,0,401.9,3.01,1.31,1.97,243.1,160.18,51.07,149.95999999999998,149.95999999999998,16,ibft,400,2.50,50,0,8
0,open,1000,0,398.1,3.01,0.98,1.92,227.0,155.98,45.87,148.29,148.29,16,ibft,400,2.50,50,0,5
1,query,1000,0,398.4,0.07,0.05,0.05,390.3,23.25,17.01,23.509999999999998,23.509999999999998,16,ibft,400,2.50,50,0,5
2,transfer,1000,0,401.6,3.19,1.01,1.95,231.9,153.17,47.29,157.82999999999998,157.82999999999998,16,ibft,400,2.50,50,0,5
