,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),cpu_max_all,cpu_max_avg_all,neti_total_mb,neto_total_mb,n,algo,tps_param,cpu_limit,delay,rate_limit,r_idx
0,open,1000,0,399.7,2.27,1.09,1.7,254.3,115.2,27.2,15.45,15.45,4,ibft,400,2.50,50,0,1
1,query,1000,0,400.0,0.06,0.05,0.05,391.8,13.67,239.04000000000002,0.7080000000000001,0.7080000000000001,4,ibft,400,2.50,50,0,1
2,transfer,1000,0,401.4,2.43,1.09,1.76,233.7,109.66,32.62,15.379999999999999,15.379999999999999,4,ibft,400,2.50,50,0,1
0,open,1000,0,397.8,2.26,1.07,1.68,255.0,105.77,22.74,13.2,13.2,4,ibft,400,2.5,50,0,9
1,query,1000,0,399.2,0.06,0.05,0.05,391.1,7.57,150.24,0.541,0.541,4,ibft,400,2.5,50,0,9
2,transfer,1000,0,401.3,2.35,1.08,1.75,227.7,107.5,27.26,13.169999999999998,13.169999999999998,4,ibft,400,2.5,50,0,9
0,open,1000,0,399.8,2.3,1.07,1.74,243.2,97.91,27.7,16.64,16.64,4,ibft,400,2.50,50,0,8
1,query,1000,0,400.0,0.06,0.05,0.05,391.8,13.77,241.44,0.734,0.734,4,ibft,400,2.50,50,0,8
2,transfer,1000,0,401.6,2.3,1.02,1.69,231.8,110.74,32.84,16.53,16.53,4,ibft,400,2.50,50,0,8
0,open,1000,0,400.6,2.4,1.04,1.74,249.4,93.35,26.78,11.610000000000001,11.610000000000001,4,ibft,400,2.50,50,0,5
1,query,1000,0,401.0,0.06,0.05,0.05,392.8,13.22,220.32,0.718,0.718,4,ibft,400,2.50,50,0,5
2,transfer,1000,0,401.4,2.37,0.95,1.79,231.6,91.91,31.96,12.290000000000001,12.290000000000001,4,ibft,400,2.50,50,0,5
0,open,1000,0,401.0,2.41,1.1,1.76,246.1,95.71,26.24,11.700000000000001,11.700000000000001,4,ibft,400,2.50,50,0,2
1,query,1000,0,400.6,0.06,0.05,0.05,392.5,13.14,217.44,0.706,0.706,4,ibft,400,2.50,50,0,2
2,transfer,1000,0,401.6,2.45,0.99,1.79,228.3,100.1,31.58,12.46,12.46,4,ibft,400,2.50,50,0,2
0,open,1000,0,401.6,2.38,1.05,1.75,230.8,98.41,27.13,13.8,13.8,4,ibft,400,2.50,50,0,6
1,query,1000,0,400.0,0.06,0.05,0.05,391.8,13.6,223.68,0.7050000000000001,0.7050000000000001,4,ibft,400,2.50,50,0,6
2,transfer,1000,0,401.4,2.33,1.04,1.72,227.8,111.35,33.85,14.95,14.95,4,ibft,400,2.50,50,0,6
0,open,1000,0,400.0,2.36,1.07,1.69,256.1,125.25,29.65,16.66,16.66,4,ibft,400,2.50,50,0,7
1,query,1000,0,400.3,0.06,0.05,0.05,392.0,13.38,223.20000000000002,0.7110000000000001,0.7110000000000001,4,ibft,400,2.50,50,0,7
2,transfer,1000,0,401.4,2.36,1.02,1.75,234.0,115.09,32.61,16.53,16.53,4,ibft,400,2.50,50,0,7
0,open,1000,0,399.0,2.35,1.11,1.74,249.0,105.14,29.11,14.93,14.93,4,ibft,400,2.50,50,0,3
1,query,1000,0,400.2,0.06,0.05,0.05,392.2,13.9,220.79999999999998,0.6980000000000001,0.6980000000000001,4,ibft,400,2.50,50,0,3
2,transfer,1000,0,401.0,2.34,1.03,1.74,234.1,107.9,31.65,15.669999999999998,15.669999999999998,4,ibft,400,2.50,50,0,3
0,open,1000,0,401.3,2.38,1.1,1.75,250.1,108.81,24.5,12.78,12.78,4,ibft,400,2.50,50,0,4
1,query,1000,0,399.8,0.06,0.05,0.05,391.7,13.68,229.44,0.6890000000000001,0.6890000000000001,4,ibft,400,2.50,50,0,4
2,transfer,1000,0,401.1,2.32,1.01,1.78,233.0,97.77,30.59,13.54,13.54,4,ibft,400,2.50,50,0,4
0,open,1000,0,400.3,2.35,0.89,1.6,219.5,82.76,18.05,13.939999999999998,13.939999999999998,4,ibft,400,2.5,50,0,10
1,query,1000,0,400.8,0.06,0.05,0.05,392.8,267.84000000000003,172.32,0.53,0.53,4,ibft,400,2.5,50,0,10
2,transfer,1000,0,401.3,2.39,1.06,1.7,219.1,103.89,26.22,13.32,13.32,4,ibft,400,2.5,50,0,10
0,open,1000,0,392.9,2.79,1.06,1.87,262.2,163.42,53.67,144.1,144.1,16,ibft,400,2.50,50,0,1
1,query,1000,0,400.5,0.07,0.05,0.05,392.3,21.58,17.32,25.8,25.8,16,ibft,400,2.50,50,0,1
2,transfer,1000,0,402.1,2.87,1.27,1.93,245.2,159.56,49.93,152.57999999999998,152.57999999999998,16,ibft,400,2.50,50,0,1
0,open,1000,0,395.6,2.56,1.07,1.8,228.0,208.53,52.91,159.01,159.01,16,ibft,400,2.5,50,0,9
1,query,1000,0,397.5,0.06,0.05,0.05,389.4,27.36,17.9,19.130000000000003,19.130000000000003,16,ibft,400,2.5,50,0,9
2,transfer,1000,0,400.8,2.63,1.18,1.87,231.5,186.09,48.29,161.64,161.64,16,ibft,400,2.5,50,0,9
0,open,1000,0,399.7,3.2,1.16,1.95,255.2,161.03,52.96,139.49,139.49,16,ibft,400,2.50,50,0,8
1,query,1000,0,399.8,0.08,0.05,0.05,391.7,23.09,17.79,25.0,25.0,16,ibft,400,2.50,50,0,8
2,transfer,1000,0,401.9,3.01,1.31,1.97,243.1,160.18,51.07,149.95999999999998,149.95999999999998,16,ibft,400,2.50,50,0,8
0,open,1000,0,398.1,3.01,0.98,1.92,227.0,155.98,45.87,148.29,148.29,16,ibft,400,2.50,50,0,5
1,query,1000,0,398.4,0.07,0.05,0.05,390.3,23.25,17.01,23.509999999999998,23.509999999999998,16,ibft,400,2.50,50,0,5
2,transfer,1000,0,401.6,3.19,1.01,1.95,231.9,153.17,47.29,157.82999999999998,157.82999999999998,16,ibft,400,2.50,50,0,5
0,open,1000,0,400.8,3.54,1.17,1.9,221.3,158.82,45.23,148.35,148.35,16,ibft,400,2.50,50,0,2
1,query,1000,0,399.5,0.08,0.05,0.05,390.8,23.01,16.84,23.560000000000002,23.560000000000002,16,ibft,400,2.50,50,0,2
2,transfer,1000,0,401.9,4.13,1.04,2.04,191.4,155.2,48.87,162.83999999999997,162.83999999999997,16,ibft,400,2.50,50,0,2
0,open,1000,0,398.6,3.02,1.21,1.93,252.7,157.51,50.45,139.7,139.7,16,ibft,400,2.50,50,0,6
1,query,1000,0,395.6,0.09,0.05,0.05,387.4,25.5,17.33,25.64,25.64,16,ibft,400,2.50,50,0,6
2,transfer,1000,0,402.4,3.15,1.14,1.96,242.2,156.47,49.36,150.39000000000001,150.39000000000001,16,ibft,400,2.50,50,0,6
0,open,1000,0,398.7,2.95,1.0,1.82,271.7,157.33,50.49,142.02999999999997,142.02999999999997,16,ibft,400,2.50,50,0,7
1,query,1000,0,399.4,0.09,0.05,0.05,391.2,23.14,17.54,25.21,25.21,16,ibft,400,2.50,50,0,7
2,transfer,1000,0,400.8,3.9,1.47,2.76,208.5,158.87,44.2,163.51,163.51,16,ibft,400,2.50,50,0,7
0,open,1000,0,399.4,3.69,0.98,1.99,194.6,149.75,42.19,149.82999999999998,149.82999999999998,16,ibft,400,2.50,50,0,3
1,query,1000,0,400.3,0.1,0.05,0.05,392.2,26.48,17.11,23.4,23.4,16,ibft,400,2.50,50,0,3
2,transfer,1000,0,400.8,2.94,0.99,1.92,231.0,159.27,54.92,151.06,151.06,16,ibft,400,2.50,50,0,3
0,open,1000,0,397.9,2.87,1.29,1.95,244.2,157.35,47.85,142.11,142.11,16,ibft,400,2.50,50,0,4
1,query,1000,0,400.5,0.08,0.05,0.05,392.3,23.47,17.77,25.48,25.48,16,ibft,400,2.50,50,0,4
2,transfer,1000,0,401.9,3.27,1.13,1.88,250.4,163.54,46.71,147.31,147.31,16,ibft,400,2.50,50,0,4
0,open,1000,0,396.7,2.9,1.15,1.87,255.7,199.73,51.62,163.3,163.3,16,ibft,400,2.5,50,0,10
1,query,1000,0,393.9,0.06,0.05,0.05,386.0,21.55,16.8,20.79,20.79,16,ibft,400,2.5,50,0,10
2,transfer,1000,0,401.4,2.7,1.13,1.81,241.1,195.3,52.07,168.0,168.0,16,ibft,400,2.5,50,0,10
0,open,1000,0,397.5,3.69,1.44,2.68,201.9,119.14,40.09,123.64,123.64,16,qbft,400,2.50,50,0,1
1,query,1000,0,397.6,0.12,0.05,0.06,389.1,37.85,23.1,15.391,15.391,16,qbft,400,2.50,50,0,1
2,transfer,1000,0,398.2,3.95,1.7,2.79,164.1,120.42,38.11,138.19,138.19,16,qbft,400,2.50,50,0,1
0,open,1000,0,398.4,2.59,1.13,1.78,224.3,199.31,50.17,149.67000000000002,149.67000000000002,16,qbft,400,2.5,50,0,9
1,query,1000,0,397.0,0.06,0.05,0.05,389.1,25.61,16.87,15.888000000000002,15.888000000000002,16,qbft,400,2.5,50,0,9
2,transfer,1000,0,401.8,2.66,1.08,1.82,231.7,210.37,51.64,155.38,155.38,16,qbft,400,2.5,50,0,9
0,open,1000,0,400.8,3.92,1.28,2.77,202.0,116.94,38.83,126.82,126.82,16,qbft,400,2.50,50,0,8
1,query,1000,0,396.4,0.12,0.05,0.06,387.6,30.67,20.14,15.072,15.072,16,qbft,400,2.50,50,0,8
2,transfer,1000,0,399.2,3.97,1.62,2.75,166.8,118.89,39.96,135.36,135.36,16,qbft,400,2.50,50,0,8
0,open,1000,0,398.1,3.9,1.32,2.67,208.7,117.65,40.71,119.75999999999999,119.75999999999999,16,qbft,400,2.50,50,0,5
1,query,1000,0,399.0,0.1,0.05,0.06,389.9,39.13,21.65,15.873,15.873,16,qbft,400,2.50,50,0,5
2,transfer,1000,0,401.9,4.08,1.31,2.72,165.6,115.72,36.55,135.77,135.77,16,qbft,400,2.50,50,0,5
0,open,1000,0,397.6,4.21,1.38,2.82,205.3,114.89,44.31,124.30999999999999,124.30999999999999,16,qbft,400,2.50,50,0,2
1,query,1000,0,396.4,0.13,0.05,0.06,387.7,40.24,21.36,14.439,14.439,16,qbft,400,2.50,50,0,2
2,transfer,1000,0,393.5,4.21,1.26,2.71,211.8,120.2,51.79,123.67000000000002,123.67000000000002,16,qbft,400,2.50,50,0,2
0,open,1000,0,402.1,4.14,1.43,2.73,202.8,115.32,39.91,118.24,118.24,16,qbft,400,2.50,50,0,6
1,query,1000,0,401.9,0.1,0.05,0.06,391.7,39.86,21.33,15.445,15.445,16,qbft,400,2.50,50,0,6
2,transfer,1000,0,399.7,4.17,1.31,2.8,197.7,121.95,47.66,134.38,134.38,16,qbft,400,2.50,50,0,6
0,open,1000,0,400.3,3.99,1.37,2.74,198.1,122.26,42.07,124.28999999999999,124.28999999999999,16,qbft,400,2.50,50,0,7
1,query,1000,0,397.5,0.1,0.05,0.06,388.7,39.33,20.96,14.219,14.219,16,qbft,400,2.50,50,0,7
2,transfer,1000,0,401.0,3.46,1.07,2.3,192.0,126.78,45.88,121.96,121.96,16,qbft,400,2.50,50,0,7
0,open,1000,0,396.2,4.09,1.69,2.81,164.0,122.58,35.86,129.10000000000002,129.10000000000002,16,qbft,400,2.50,50,0,3
1,query,1000,0,401.4,0.1,0.05,0.06,392.9,35.24,19.2,15.707,15.707,16,qbft,400,2.50,50,0,3
2,transfer,1000,0,399.5,4.21,1.24,2.75,200.6,119.88,51.21,129.2,129.2,16,qbft,400,2.50,50,0,3
0,open,1000,0,397.9,3.93,1.36,2.79,198.8,113.79,38.25,118.32,118.32,16,qbft,400,2.50,50,0,4
1,query,1000,0,394.6,0.13,0.05,0.06,386.5,40.73,21.23,14.865,14.865,16,qbft,400,2.50,50,0,4
2,transfer,1000,0,394.2,4.1,1.19,2.68,209.3,128.7,52.07,128.71,128.71,16,qbft,400,2.50,50,0,4
0,open,1000,0,398.7,3.87,1.1,1.79,157.1,214.11,46.81,157.38,157.38,16,qbft,400,2.5,50,0,10
1,query,1000,0,399.0,0.06,0.05,0.05,390.9,25.04,16.2,15.512,15.512,16,qbft,400,2.5,50,0,10
2,transfer,1000,0,401.3,2.59,0.95,1.78,228.8,204.02,49.88,153.89,153.89,16,qbft,400,2.5,50,0,10
0,open,1000,0,393.7,5.93,1.77,4.4,159.7,153.69,51.76,106.73,106.73,16,bhs,400,2.50,50,0,1
1,query,1000,0,396.8,0.06,0.05,0.05,388.7,24.58,14.14,3.017,3.017,16,bhs,400,2.50,50,0,1
2,transfer,1000,0,401.1,6.16,1.55,4.64,158.5,160.64,55.69,114.64,114.64,16,bhs,400,2.50,50,0,1
0,open,1000,0,396.4,3.41,1.36,2.26,241.6,190.91,48.19,122.25,122.25,16,bhs,400,2.5,50,0,9
1,query,1000,0,397.6,0.06,0.05,0.05,389.7,23.96,12.25,2.84,2.84,16,bhs,400,2.5,50,0,9
2,transfer,1000,0,402.1,3.38,1.4,2.49,199.0,210.36,40.91,128.74,128.74,16,bhs,400,2.5,50,0,9
0,open,1000,0,399.2,6.67,3.76,5.29,149.7,153.09,45.33,108.81,108.81,16,bhs,400,2.50,50,0,8
1,query,1000,0,398.1,0.06,0.05,0.05,390.0,28.6,13.59,2.995,2.995,16,bhs,400,2.50,50,0,8
2,transfer,1000,0,401.4,6.11,1.57,4.64,157.5,165.88,57.09,115.8,115.8,16,bhs,400,2.50,50,0,8
0,open,1000,0,399.4,5.6,2.66,4.19,177.5,155.67,50.83,104.77000000000001,104.77000000000001,16,bhs,400,2.50,50,0,5
1,query,1000,0,399.2,0.07,0.05,0.05,391.1,29.51,14.57,3.123,3.123,16,bhs,400,2.50,50,0,5
2,transfer,1000,0,401.8,6.04,1.57,4.52,160.1,163.9,56.03,112.46000000000001,112.46000000000001,16,bhs,400,2.50,50,0,5
0,open,1000,0,397.3,6.1,3.17,4.71,163.6,156.29,56.14,109.66000000000001,109.66000000000001,16,bhs,400,2.50,50,0,2
1,query,1000,0,400.0,0.07,0.05,0.05,391.8,31.21,14.56,2.975,2.975,16,bhs,400,2.50,50,0,2
2,transfer,1000,0,401.4,6.06,1.63,4.59,159.3,161.52,58.14,115.88,115.88,16,bhs,400,2.50,50,0,2
0,open,1000,0,398.6,3.36,1.7,2.5,190.8,154.98,47.06,99.11000000000001,99.11000000000001,16,bhs,400,2.50,50,0,6
1,query,1000,0,399.8,0.06,0.05,0.05,391.7,24.89,14.1,3.0060000000000002,3.0060000000000002,16,bhs,400,2.50,50,0,6
2,transfer,1000,0,401.4,5.76,1.78,4.12,157.5,156.72,51.06,111.08000000000001,111.08000000000001,16,bhs,400,2.50,50,0,6
0,open,1000,0,398.7,5.46,1.6,3.78,160.4,159.36,49.4,103.58,103.58,16,bhs,400,2.50,50,0,7
1,query,1000,0,401.1,0.06,0.05,0.05,392.9,32.29,13.97,2.965,2.965,16,bhs,400,2.50,50,0,7
2,transfer,1000,0,401.3,5.7,1.59,3.99,157.1,151.25,53.2,111.61,111.61,16,bhs,400,2.50,50,0,7
0,open,1000,0,399.7,5.63,2.91,4.26,177.0,153.64,47.87,103.87,103.87,16,bhs,400,2.50,50,0,3
